x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,y
370000,0,47,0,370000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4,2,2,2,2,4,4,2,2,4,0,0,0,4,3,165,170,165,2,2,2,0,0,0,3,3,0,0,1,4,4,3,3,3,3,2,1,6,0,0,1,1,1,-999,0,0,1,1,8,1
370000,1,33,1,370000,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,2,2,2,4,4,1,1,1,1,1,1,1,1,1,1,-999,2,2,2,1,3,5,4,1,4,1,4,2,0,2,3,173,200,175,2,1,1,0,0,0,2,2,1,1,1,1,4,3,2,3,3,1,0,8,0,0,4,2,2,-1,1,-1,1,0,9,0
210000,0,41,1,370000,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2012,3,2,2,1,99998,4,4,1,5,4,3,3,9,2,3,168,140,167,2,1,3,0,0,0,2,2,1,1,1,4,4,3,3,3,3,1,0,6,0,0,1,1,1,0,1,0,1,-1,8,1
440000,0,41,0,440000,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,3,3,1,4,4,4,1,5,3,6,4,4,2,3,163,96,160,3,1,1,0,0,0,2,3,0,0,1,4,4,4,4,4,4,2,0,8,0,0,3,1,1,-2,0,1,1,1,8,1
500000,1,63,0,500000,0,0,0,1,99998,1,99998,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,3,2,2,1,5,5,1,4,4,5,6,5,3,2,148,88,146,1,2,1,0,0,0,3,2,0,0,1,1,3,3,4,4,3,2,1,7,0,0,-999,1,1,-999,1,0,1,0,8,0
410000,1,59,1,410000,0,0,0,2,99998,2,99998,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,1,3,3,3,3,4,2,3,3,3,5,3,175,140,169,2,2,1,0,0,0,2,3,1,0,1,3,2,2,2,3,3,2,0,6,1,0,1,1,1,-999,-1,0,1,-1,8,0
440000,0,54,0,440000,0,0,0,1,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,3,4,4,2,4,3,5,5,6,5,3,157,130,155,3,2,2,1,0,0,3,3,0,0,1,4,3,3,3,3,3,2,1,6,0,0,-999,1,1,-1,-1,1,1,-1,8,1
650000,0,60,0,650000,0,0,0,1,99998,1,99998,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,1,1,1,1,6,6,2,1,4,2,1,5,2,3,150,80,153,4,2,2,1,0,60,2,2,0,0,2,4,4,3,3,3,3,2,0,6,0,1,2,-999,-999,1,2,0,1,-2,8,1
500000,1,36,0,500000,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,2,2,3,4,4,4,3,3,3,2,1,2,2,4,1,-999,3,2,2,2,3,6,6,2,2,4,7,7,8,4,3,163,120,161,1,1,1,0,0,0,4,2,0,0,1,1,2,3,3,4,3,2,0,7,0,0,3,1,1,1,1,0,0,0,8,1
340000,0,53,0,340000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,2,3,3,1,4,4,2,3,3,6,4,7,3,2,156,120,150,4,2,2,0,0,0,3,3,0,0,1,4,4,3,3,3,3,2,1,6,1,0,1,1,1,1,-999,0,0,0,8,1
